Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
3,2,4,2,2,0.31856460537807235,0.35637198193455305,2
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,1
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,1
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,2
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,1
2,1,5,1,2,-1.3623691351488154,0.5871610979578639,1
3,3,1,2,2,1.0581355496982294,-1.3306636902154925,2
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,2
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
4,2,1,2,2,0.9153099367873009,-1.440955073484779,5
2,1,3,2,1,-1.2895187376144355,-0.8535344462350559,2
4,3,2,4,2,2.7571163308252964,-0.9202418604025974,3
2,1,3,2,1,-1.2895187376144355,-0.8535344462350559,2
4,3,3,3,2,1.99949834590496,0.12558286591124238,3
1,2,1,1,1,-1.697810849562426,-1.8471175055818827,1
4,2,2,3,3,2.288862089073121,-1.3753425922762208,4
2,3,3,3,2,1.219008203209337,-0.5791613611100002,3
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,2
3,3,3,3,2,1.6092532745571484,-0.2267892475993789,6
4,1,5,2,2,0.10690557244667147,0.9626469883085843,1
1,1,3,2,2,-0.9261628015558182,-1.5276021315099149,2
4,2,4,1,1,-0.7335758955804085,1.3596980038799344,3
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,3
4,1,4,4,4,3.0605101370797283,-1.055827218204253,1
3,2,4,3,2,1.0073491702779362,0.027113645264031115,3
4,1,2,5,2,2.37975952720768,-2.174827190632935,3
3,3,4,2,2,0.8516352896368125,0.8190354787144608,2
5,4,2,3,3,3.7452485289384123,-0.09764348520578449,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
3,4,4,3,3,2.827091546201845,0.6307450670596086,5
4,5,1,4,3,4.645692126769678,-1.0331768282503373,7
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,2
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,2
4,2,4,2,2,0.7088096767258839,0.7087440954451745,3
5,2,4,4,2,2.476623877873423,0.40259953561475165,3
5,2,4,3,3,2.5414403203799876,0.4101623005210358,3
5,2,5,2,2,1.030221328053223,1.7776825985991132,3
3,2,2,2,1,-0.2973695619874115,-0.7550652255878445,3
1,1,4,2,2,-0.9949962215762905,-0.811035741866597,2
2,2,2,4,2,1.4435555038709331,-2.0876495842037475,5
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
5,2,4,1,1,-0.34333082423259703,1.7120701173905557,1
5,1,2,1,1,-0.7387346684503924,-0.18372615867598774,2
2,1,3,2,3,0.21768327719842173,-1.4969255897635316,3
4,3,3,2,3,2.064314788411525,0.13314563081752648,5
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,2
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,1
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,2
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,1
3,2,4,1,1,-1.12382096692822,1.007325890369313,3
4,1,1,2,2,0.3822392525285607,-1.9036185702646866,3
4,4,2,2,2,1.9126178852843085,0.20093830971835414,5
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
3,3,5,3,3,2.2251874419226327,0.8846479599230186,4
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,3
3,2,5,2,1,-0.5038698220488285,1.3946339433421087,4
3,2,3,3,2,1.0761825902984086,-0.6894527443792865,3
5,3,5,2,2,1.563292012311963,2.240346095379021,3
4,3,4,1,1,-0.20050521132166846,1.8223615006598421,3
5,3,3,3,3,3.1433444246592,0.1562594076576259,1
3,2,3,3,3,1.8297835977048371,-1.0111483161435244,1
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,2
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
3,1,2,1,1,-1.5192248111460156,-0.8884703856972301,2
5,4,5,2,3,2.8499637039771315,2.3813140203946905,5
3,1,3,2,2,-0.14567265886019537,-0.8228579044886722,2
4,2,4,2,1,-0.044791330680544666,1.0304396672094123,3
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
2,2,5,2,2,-0.14051388599021142,0.7205662580672496,2
2,1,5,2,2,-0.6735845702489514,0.25790276128734174,2
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,3
4,3,3,2,2,1.3107137810050962,0.4548412025817643,3
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,2
2,1,2,1,2,-1.1558688750873984,-1.5625380709720893,2
1,1,5,2,2,-1.063829641596763,-0.09446935222327935,2
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,4
3,1,5,1,1,-1.7257250712074326,1.2612287832327231,1
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,4
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,1
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
4,2,5,2,2,0.6399762567054116,1.425310485088492,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
5,2,5,4,2,2.407790457852951,1.1191659252580692,3
3,1,3,2,2,-0.14567265886019537,-0.8228579044886722,2
1,1,4,2,2,-0.9949962215762905,-0.811035741866597,1
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,3
3,4,3,2,2,1.4535393939160246,0.5651325858510509,3
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,3
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,3
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
3,1,4,2,1,-0.9681070862870962,0.21540405691888329,3
2,3,3,2,2,0.5302236383094733,-0.24990302443947823,4
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,3
5,5,1,2,3,3.658368068317761,-0.02228804139867243,7
2,1,5,1,1,-2.115970142555244,0.9088566697221017,1
4,2,2,3,3,2.288862089073121,-1.3753425922762208,3
4,2,4,2,2,0.7088096767258839,0.7087440954451745,3
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,3
4,1,2,2,2,0.3134058325080884,-1.187052180621369,3
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,2
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,2
3,2,5,1,2,-0.43905337954226376,1.4021967082483928,2
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,2
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,3
2,1,1,1,1,-1.8406364624733547,-1.9574088888511694,1
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,3
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,1
3,1,4,1,1,-1.6568916511869602,0.5446623935894053,2
5,1,5,2,2,0.497150643794483,1.3150191018192054,2
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,3
4,1,3,1,1,-1.1978131598186763,0.18046811745670885,2
5,2,5,2,2,1.030221328053223,1.7776825985991132,3
5,2,3,2,2,1.1678881680941677,0.3445498193124778,3
4,1,2,4,2,1.690974962307816,-1.8455688539624129,3
1,1,2,1,2,-1.5461139464352098,-1.9149101844827106,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
5,2,2,1,1,-0.20566398419165235,0.2789373381039199,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,2
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,3
4,4,3,4,2,3.221353595063564,0.2589880260206279,3
2,2,5,2,1,-0.8941148933966399,1.0422618298314874,2
4,1,4,1,1,-1.2666465798391486,0.8970345071000265,2
3,2,3,4,2,1.7649671551982724,-1.0187110810498086,3
4,1,2,2,2,0.3134058325080884,-1.187052180621369,2
2,1,3,2,1,-1.2895187376144355,-0.8535344462350559,2
4,2,3,3,2,1.46642766164622,-0.33708063086866535,4
5,1,2,2,1,-0.04995010355052856,-0.5129844953465097,3
4,4,5,2,2,1.7061176252228916,2.350637478648307,3
3,2,4,2,1,-0.43503640202835614,0.678067553698791,1
4,4,3,4,4,4.7285556098764205,-0.3844031175078477,4
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,2
4,4,2,4,4,4.797389029896893,-1.1009695071511656,5
2,3,3,1,1,-0.9121619339968191,0.4010508839952816,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,2
2,4,3,2,1,0.3096933151617848,0.5344560441046673,4
3,2,5,3,2,0.9385157502574639,0.7436800349073489,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,3
5,4,5,3,3,3.5387482688769953,2.0520556837241686,4
4,2,2,2,2,0.8464765167668286,-0.724388683841461,2
4,1,2,3,2,1.0021903974079522,-1.516310517291891,3
1,1,3,2,2,-0.9261628015558182,-1.5276021315099149,2
3,1,3,2,2,-0.14567265886019537,-0.8228579044886722,2
4,2,4,1,2,0.020025111826020018,1.0380024321156964,3
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,3
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,3
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
4,2,3,3,1,0.7128266542397916,-0.015385059104427437,3
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,3
4,3,2,5,2,3.4459008957251602,-1.2495001970731194,6
2,2,2,2,1,-0.6876146333352229,-1.1074373390984658,2
5,1,5,1,1,-0.9452349285118093,1.9659730102539656,1
4,1,4,5,2,2.2420926871667355,-0.7416944113462992,1
5,5,4,2,1,1.944665793443487,2.770802271059756,3
2,2,4,1,2,-0.7604650308696029,0.33325820509445375,2
3,2,4,1,1,-1.12382096692822,1.007325890369313,2
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,2
2,1,5,1,2,-1.3623691351488154,0.5871610979578639,1
4,3,4,2,2,1.2418803609846238,1.171407592225082,3
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,3
3,1,3,1,3,-0.08085621635363074,-0.8152951395823882,1
3,2,4,2,1,-0.43503640202835614,0.678067553698791,2
3,1,5,2,2,-0.28333949890113996,0.6102748747979632,2
4,1,4,2,2,0.1757389924671438,0.24608059866526671,2
5,2,5,1,2,0.3414367631533593,2.1069409352696353,3
3,2,5,3,1,0.1849147428510354,1.0653756066715867,3
5,3,5,2,3,2.3168930197183917,1.918650523614783,3
4,2,3,3,3,2.2200286690526485,-0.6587762026329032,2
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,3
2,2,3,1,2,-0.6916316108491306,-0.38330818454886395,3
4,1,2,2,3,1.067006839914517,-1.5087477523856068,3
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,2
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,2
4,3,2,3,2,2.0683317659254326,-0.5909835237320754,3
2,2,5,1,1,-1.582899458296504,1.3715201665020096,1
5,4,4,2,2,2.1651961165911753,1.986443202515611,4
2,2,5,1,1,-1.582899458296504,1.3715201665020096,1
4,1,2,1,1,-1.128979739798204,-0.536098272186609,1
3,1,4,3,3,1.2278794934256245,-0.7572454232801143,2
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,2
3,3,1,2,2,1.0581355496982294,-1.3306636902154925,5
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,3
1,1,1,1,1,-2.230881533821166,-2.3097810023617904,1
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,2
3,2,4,2,2,0.31856460537807235,0.35637198193455305,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
3,3,3,2,2,0.9204687096572848,0.10246908907114305,4
4,1,5,3,1,0.042089129940106745,0.9550842234023003,3
3,2,5,2,1,-0.5038698220488285,1.3946339433421087,2
4,2,4,1,2,0.020025111826020018,1.0380024321156964,2
5,5,5,5,5,6.95659009774832,1.212811363634557,7
2,2,3,3,1,-0.06766348845583145,-0.72012928612567,3
3,2,5,2,2,0.24973118535760008,1.0729383715778706,2
2,2,1,2,1,-0.6187812133147507,-1.8240037287417834,2
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
3,2,3,3,2,1.0761825902984086,-0.6894527443792865,3
2,1,5,1,1,-2.115970142555244,0.9088566697221017,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,2
3,2,2,1,1,-0.9861541268872753,-0.42580688891732255,3
3,3,4,2,2,0.8516352896368125,0.8190354787144608,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,2
4,4,4,2,2,1.774951045243364,1.6340710890049894,3
4,2,4,1,1,-0.7335758955804085,1.3596980038799344,3
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,3
4,3,5,1,1,-0.2693386313421407,2.5389278903031594,2
5,5,5,5,5,6.95659009774832,1.212811363634557,5
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,2
3,2,4,1,1,-1.12382096692822,1.007325890369313,2
3,3,4,2,2,0.8516352896368125,0.8190354787144608,3
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,3
1,1,5,2,2,-1.063829641596763,-0.09446935222327935,2
3,1,5,1,1,-1.7257250712074326,1.2612287832327231,1
4,1,3,1,1,-1.1978131598186763,0.18046811745670885,3
2,1,5,2,1,-1.42718557765538,0.5795983330515797,2
4,2,3,2,3,1.5312441041527847,-0.32951786596238125,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,1
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,2
3,1,3,1,2,-0.8344572237600593,-0.4935995678181504,5
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,2
3,2,5,1,2,-0.43905337954226376,1.4021967082483928,2
1,1,2,2,1,-1.6109303889417745,-1.9224729493889947,3
3,1,3,1,1,-1.588058231166488,-0.1719039960539125,1
3,2,4,2,1,-0.43503640202835614,0.678067553698791,2
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,3
2,2,3,1,2,-0.6916316108491306,-0.38330818454886395,3
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,5
4,1,5,2,2,0.10690557244667147,0.9626469883085843,3
5,4,5,2,1,1.3427616891642744,3.024705163923166,4
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,2
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,2
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,2
3,4,5,1,2,0.6270879889752163,2.327523701808208,1
3,3,3,2,2,0.9204687096572848,0.10246908907114305,2
2,2,4,2,4,1.4355215488431177,-0.6393912751045439,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,2
5,2,3,1,1,-0.2744974042121247,0.9955037277472377,2
2,2,5,3,3,1.3018716863160809,0.06961234963248973,2
2,2,3,3,2,0.6859375189505971,-1.0418248578899079,4
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
4,2,4,2,2,0.7088096767258839,0.7087440954451745,2
4,2,1,2,2,0.9153099367873009,-1.440955073484779,3
1,1,2,2,1,-1.6109303889417745,-1.9224729493889947,3
4,2,5,2,1,-0.11362475070101699,1.74700605685273,2
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,2
4,2,5,2,3,1.39357726411184,1.103614913324254,3
4,1,5,2,2,0.10690557244667147,0.9626469883085843,3
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,2
2,2,5,2,1,-0.8941148933966399,1.0422618298314874,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,1
5,2,3,3,2,1.8566727329940313,0.015291482641955867,3
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,5
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,1
4,2,3,2,1,0.024042089339927717,0.3138732775660945,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
4,3,4,3,1,1.1770639184780591,1.163844827318798,4
4,2,2,1,1,-0.5959090555394638,-0.07343477540670128,3
5,3,4,1,3,1.696941874839,1.5313424706419876,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,2
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,3
3,2,3,3,3,1.8297835977048371,-1.0111483161435244,2
3,1,2,1,3,-0.012022796333158415,-1.5318615292257058,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,3
3,3,3,2,2,0.9204687096572848,0.10246908907114305,3
4,3,2,2,2,1.3795472010255685,-0.2617251870615535,3
1,1,2,1,1,-2.2997149538416384,-1.5932146127184725,2
3,3,3,1,1,-0.5219168626490076,0.7534229975059029,5
4,2,4,2,2,0.7088096767258839,0.7087440954451745,3
2,2,5,2,2,-0.14051388599021142,0.7205662580672496,2
1,2,3,2,1,-1.1466931247035068,-0.7432430629657693,3
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,3
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,2
4,2,3,2,1,0.024042089339927717,0.3138732775660945,3
4,2,5,3,3,2.082361829011704,0.7743565766537321,2
3,1,1,2,1,-0.7616068262256792,-1.9342951120110696,1
2,2,3,2,1,-0.7564480533556952,-0.390870949455148,3
2,1,2,2,1,-1.2206853175939631,-1.5701008358783735,1
3,2,4,2,2,0.31856460537807235,0.35637198193455305,3
2,2,3,2,1,-0.7564480533556952,-0.390870949455148,3
1,1,2,1,1,-2.2997149538416384,-1.5932146127184725,1
4,1,4,3,2,0.8645235573670076,-0.08317773800525527,3
4,3,4,3,3,2.6842659332909165,0.5204536837903223,2
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,2
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,2
4,3,3,2,1,0.5571127735986678,0.7765367743460022,3
5,2,3,2,1,0.4142871606877392,0.6662453910767158,3
3,1,5,1,1,-1.7257250712074326,1.2612287832327231,2
1,2,4,3,3,0.9804600349887419,-0.9993261535214493,2
3,2,4,1,1,-1.12382096692822,1.007325890369313,2
4,2,3,4,2,2.155212226546084,-0.6663389675391872,3
2,1,5,2,1,-1.42718557765538,0.5795983330515797,2
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,2
5,1,4,4,1,1.1899521862082545,0.2616316105990818,1
5,1,3,2,1,-0.11878352357100089,0.20358189429680815,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1
5,3,3,2,2,1.7009588523529076,0.8072133160923858,5
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,3
3,1,4,2,2,-0.2145060788806677,-0.1062915148453546,3
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,1
4,2,4,3,3,2.151195249032176,0.057790187010414586,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
3,4,5,2,2,1.31587255387508,1.9982653651376858,4
3,2,4,2,2,0.31856460537807235,0.35637198193455305,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,1
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,1
4,3,2,2,2,1.3795472010255685,-0.2617251870615535,2
5,4,3,3,2,2.9228141015115114,0.9406184762017712,5
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,2
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1
3,1,4,3,2,0.47427848601919614,-0.4355498515158766,2
4,2,3,2,1,0.024042089339927717,0.3138732775660945,2
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,2
5,3,4,3,3,3.074511004638728,0.8728257973009435,4
4,3,3,5,4,4.8842694905175446,-1.1763249509582774,4
3,3,4,1,3,0.9164517321433772,0.8265982436207449,3
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
3,3,3,2,2,0.9204687096572848,0.10246908907114305,4
2,3,2,3,3,2.041442630636238,-1.6174233225175558,4
3,2,3,3,3,1.8297835977048371,-1.0111483161435244,3
4,3,5,1,1,-0.2693386313421407,2.5389278903031594,3
3,1,4,1,1,-1.6568916511869602,0.5446623935894053,1
2,1,5,2,2,-0.6735845702489514,0.25790276128734174,1
3,2,4,1,1,-1.12382096692822,1.007325890369313,2
5,1,4,1,1,-0.876401508491337,1.249406620610648,1
4,2,4,2,2,0.7088096767258839,0.7087440954451745,4
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,1
2,2,5,1,1,-1.582899458296504,1.3715201665020096,2
4,1,5,2,2,0.10690557244667147,0.9626469883085843,2
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,4
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,2
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,1
4,2,3,2,1,0.024042089339927717,0.3138732775660945,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
4,1,3,3,3,1.6869579847939085,-1.1214396994128109,2
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,1
2,2,3,2,1,-0.7564480533556952,-0.390870949455148,3
